zipcode,place,state
13801,Mc Donough,New York
13809,Mount Upton,New York
13814,North Norwich,New York
13815,Norwich,New York
13830,Oxford,New York
13832,Plymouth,New York
13841,Smithville Flats,New York
13843,South New Berlin,New York
13844,South Plymouth,New York
12901,Plattsburgh,New York
12903,Plattsburgh,New York
12910,Altona,New York
12911,Keeseville,New York
12912,Au Sable Forks,New York
12918,Cadyville,New York
12919,Champlain,New York
12921,Chazy,New York
12923,Churubusco,New York
12924,Keeseville,New York
12929,Dannemora,New York
12933,Ellenburg,New York
12934,Ellenburg Center,New York
12935,Ellenburg Depot,New York
12952,Lyon Mountain,New York
12955,Lyon Mountain,New York
12958,Mooers,New York
12959,Mooers Forks,New York
12962,Morrisonville,New York
12972,Peru,New York
12978,Redford,New York
12979,Rouses Point,New York
12981,Saranac,New York
12985,Schuyler Falls,New York
12992,West Chazy,New York
12017,Austerlitz,New York
12029,Canaan,New York
12037,Chatham,New York
12050,Columbiaville,New York
12060,East Chatham,New York
12075,Ghent,New York
12106,Kinderhook,New York
12115,Malden Bridge,New York
12125,New Lebanon,New York
12130,Niverville,New York
12132,North Chatham,New York
12136,Old Chatham,New York
12165,Spencertown,New York
12172,Stottville,New York
12173,Stuyvesant,New York
12174,Stuyvesant Falls,New York
12184,Valatie,New York
12195,West Lebanon,New York
12502,Ancram,New York
12503,Ancramdale,New York
12513,Claverack,New York
12516,Copake,New York
12517,Copake Falls,New York
12521,Craryville,New York
12523,Elizaville,New York
12526,Germantown,New York
12529,Hillsdale,New York
12530,Hollowville,New York
12534,Hudson,New York
12541,Livingston,New York
12544,Mellenville,New York
12565,Philmont,New York
13040,Cincinnatus,New York
13045,Cortland,New York
13056,East Homer,New York
13077,Homer,New York
13087,Little York,New York
13101,Mc Graw,New York
13141,Preble,New York
13158,Truxton,New York
13738,Blodgett Mills,New York
13784,Harford,New York
13803,Marathon,New York
13863,Willet,New York
12167,Stamford,New York
12406,Arkville,New York
12421,Denver,New York
12430,Fleischmanns,New York
12434,Grand Gorge,New York
12438,Halcottsville,New York
12455,Margaretville,New York
12459,New Kingston,New York
12474,Roxbury,New York
13731,Andes,New York
13739,Bloomville,New York
13740,Bovina Center,New York
13750,Davenport,New York
13751,Davenport Center,New York
13752,Delancey,New York
13753,Delhi,New York
13755,Downsville,New York
13756,East Branch,New York
13757,East Meredith,New York
13774,Fishs Eddy,New York
13775,Franklin,New York
13782,Hamden,New York
13783,Hancock,New York
13786,Harpersfield,New York
13788,Hobart,New York
13804,Masonville,New York
13806,Meridale,New York
13838,Sidney,New York
13839,Sidney Center,New York
13842,South Kortright,New York
13846,Treadwell,New York
13847,Trout Creek,New York
13856,Walton,New York
13860,West Davenport,New York
12501,Amenia,New York
12504,Annandale On Hudson,New York
12506,Bangall,New York
12507,Barrytown,New York
12508,Beacon,New York
12510,Billings,New York
12511,Castle Point,New York
12512,Chelsea,New York
12514,Clinton Corners,New York
12522,Dover Plains,New York
12524,Fishkill,New York
12527,Glenham,New York
12531,Holmes,New York
12533,Hopewell Junction,New York
12537,Hughsonville,New York
12538,Hyde Park,New York
12540,Lagrangeville,New York
12545,Millbrook,New York
12546,Millerton,New York
12564,Pawling,New York
12567,Pine Plains,New York
12569,Pleasant Valley,New York
12570,Poughquag,New York
12571,Red Hook,New York
12572,Rhinebeck,New York
12574,Rhinecliff,New York
12578,Salt Point,New York
12580,Staatsburg,New York
12581,Stanfordville,New York
12582,Stormville,New York
12583,Tivoli,New York
12585,Verbank,New York
12590,Wappingers Falls,New York
12592,Wassaic,New York
12594,Wingdale,New York
12601,Poughkeepsie,New York
12602,Poughkeepsie,New York
12603,Poughkeepsie,New York
12604,Poughkeepsie,New York
14001,Akron,New York
14004,Alden,New York
14006,Angola,New York
14010,Athol Springs,New York
14025,Boston,New York
14026,Bowmansville,New York
14027,Brant,New York
14030,Chaffee,New York
14031,Clarence,New York
14032,Clarence Center,New York
14033,Colden,New York
14034,Collins,New York
14035,Collins Center,New York
14038,Crittenden,New York
14043,Depew,New York
14047,Derby,New York
14051,East Amherst,New York
14052,East Aurora,New York
14055,East Concord,New York
14057,Eden,New York
14059,Elma,New York
14061,Farnham,New York
14068,Getzville,New York
14069,Glenwood,New York
14072,Grand Island,New York
14075,Hamburg,New York
14080,Holland,New York
14085,Lake View,New York
14086,Lancaster,New York
14091,Lawtons,New York
14102,Marilla,New York
14110,North Boston,New York
14111,North Collins,New York
14112,North Evans,New York
14127,Orchard Park,New York
14134,Sardinia,New York
14139,South Wales,New York
14140,Spring Brook,New York
14141,Springville,New York
14150,Tonawanda,New York
14151,Tonawanda,New York
14169,Wales Center,New York
14170,West Falls,New York
14201,Buffalo,New York
14202,Buffalo,New York
14203,Buffalo,New York
14204,Buffalo,New York
14205,Buffalo,New York
14206,Buffalo,New York
14207,Buffalo,New York
14208,Buffalo,New York
14209,Buffalo,New York
14210,Buffalo,New York
14211,Buffalo,New York
14212,Buffalo,New York
14213,Buffalo,New York
14214,Buffalo,New York
14215,Buffalo,New York
14216,Buffalo,New York
14217,Buffalo,New York
14218,Buffalo,New York
14219,Buffalo,New York
14220,Buffalo,New York
14221,Buffalo,New York
14222,Buffalo,New York
14223,Buffalo,New York
14224,Buffalo,New York
14225,Buffalo,New York
14226,Buffalo,New York
14227,Buffalo,New York
14228,Buffalo,New York
14231,Buffalo,New York
14233,Buffalo,New York
14240,Buffalo,New York
14241,Buffalo,New York
14260,Buffalo,New York
14261,Buffalo,New York
14263,Buffalo,New York
14264,Buffalo,New York
14265,Buffalo,New York
14267,Buffalo,New York
14269,Buffalo,New York
14270,Buffalo,New York
14272,Buffalo,New York
14273,Buffalo,New York
14276,Buffalo,New York
14280,Buffalo,New York
12851,Minerva,New York
12852,Newcomb,New York
12855,North Hudson,New York
12857,Olmstedville,New York
12858,Paradox,New York
12870,Schroon Lake,New York
12872,Severance,New York
12879,Newcomb,New York
12883,Ticonderoga,New York
12913,Bloomingdale,New York
12928,Crown Point,New York
12932,Elizabethtown,New York
12936,Essex,New York
12941,Jay,New York
12942,Keene,New York
12943,Keene Valley,New York
12944,Keeseville,New York
12946,Lake Placid,New York
12950,Lewis,New York
12956,Mineville,New York
12960,Moriah,New York
12961,Moriah Center,New York
12964,New Russia,New York
12974,Port Henry,New York
12975,Port Kent,New York
12977,Ray Brook,New York
12987,Upper Jay,New York
12993,Westport,New York
12996,Willsboro,New York
12997,Wilmington,New York
12998,Witherbee,New York
12914,Bombay,New York
12915,Brainardsville,New York
12916,Brushton,New York
12917,Burke,New York
12920,Chateaugay,New York
12926,Constable,New York
12930,Dickinson Center,New York
12937,Fort Covington,New York
12939,Gabriels,New York
12945,Lake Clear,New York
12953,Malone,New York
12957,Moira,New York
12966,North Bangor,New York
12969,Owls Head,New York
12970,Paul Smiths,New York
12976,Rainbow Lake,New York
12980,Saint Regis Falls,New York
12983,Saranac Lake,New York
12986,Tupper Lake,New York
12989,Vermontville,New York
12995,Whippleville,New York
13655,Hogansburg,New York
12025,Broadalbin,New York
12032,Caroga Lake,New York
12078,Gloversville,New York
12095,Johnstown,New York
12117,Mayfield,New York
12134,Northville,New York
13470,Stratford,New York
14005,Alexander,New York
14013,Basom,New York
14020,Batavia,New York
14021,Batavia,New York
14036,Corfu,New York
14040,Darien Center,New York
14054,East Bethany,New York
14056,East Pembroke,New York
14058,Elba,New York
14125,Oakfield,New York
14143,Stafford,New York
14416,Bergen,New York
14422,Byron,New York
14482,Le Roy,New York
14486,Linwood,New York
14525,Pavilion,New York
14557,South Byron,New York
12015,Athens,New York
12042,Climax,New York
12051,Coxsackie,New York
12058,Earlton,New York
12083,Greenville,New York
12087,Hannacroix,New York
12124,New Baltimore,New York
12176,Surprise,New York
12192,West Coxsackie,New York
12405,Acra,New York
12407,Ashland,New York
12413,Cairo,New York
12414,Catskill,New York
12418,Cornwallville,New York
12422,Durham,New York
12423,East Durham,New York
12424,East Jewett,New York
12427,Elka Park,New York
12431,Freehold,New York
12436,Haines Falls,New York
12439,Hensonville,New York
12442,Hunter,New York
12444,Jewett,New York
12450,Lanesville,New York
12451,Leeds,New York
12452,Lexington,New York
12454,Maplecrest,New York
12460,Oak Hill,New York
12463,Palenville,New York
12468,Prattsville,New York
12470,Purling,New York
12473,Round Top,New York
12482,South Cairo,New York
12485,Tannersville,New York
12492,West Kill,New York
12496,Windham,New York
12108,Lake Pleasant,New York
12139,Piseco,New York
12164,Speculator,New York
12190,Wells,New York
12812,Blue Mountain Lake,New York
12842,Indian Lake,New York
12847,Long Lake,New York
12864,Sabael,New York
13353,Hoffmeister,New York
13360,Inlet,New York
13436,Raquette Lake,New York
13324,Cold Brook,New York
13329,Dolgeville,New York
13331,Eagle Bay,New York
13340,Frankfort,New York
13350,Herkimer,New York
13357,Ilion,New York
13361,Jordanville,New York
13365,Little Falls,New York
13406,Middleville,New York
13407,Mohawk,New York
13416,Newport,New York
13420,Old Forge,New York
13431,Poland,New York
13454,Salisbury Center,New York
13472,Thendara,New York
13475,Van Hornesville,New York
13491,West Winfield,New York
13601,Watertown,New York
13602,Fort Drum,New York
13603,Watertown,New York
13605,Adams,New York
13606,Adams Center,New York
13607,Alexandria Bay,New York
13608,Antwerp,New York
13611,Belleville,New York
13612,Black River,New York
13615,Brownville,New York
13616,Calcium,New York
13618,Cape Vincent,New York
13619,Carthage,New York
13622,Chaumont,New York
13624,Clayton,New York
13628,Deferiet,New York
13632,Depauville,New York
13634,Dexter,New York
13636,Ellisburg,New York
13637,Evans Mills,New York
13638,Felts Mills,New York
13640,Wellesley Island,New York
13641,Fishers Landing,New York
13643,Great Bend,New York
13650,Henderson,New York
13651,Henderson Harbor,New York
13656,La Fargeville,New York
13657,Limerick,New York
13659,Lorraine,New York
13661,Mannsville,New York
13665,Natural Bridge,New York
13671,Oxbow,New York
13673,Philadelphia,New York
13674,Pierrepont Manor,New York
13675,Plessis,New York
13679,Redwood,New York
13682,Rodman,New York
13685,Sackets Harbor,New York
13691,Theresa,New York
13692,Thousand Island Park,New York
13693,Three Mile Bay,New York
11201,Brooklyn,New York
11202,Brooklyn,New York
11203,Brooklyn,New York
11204,Brooklyn,New York
11205,Brooklyn,New York
11206,Brooklyn,New York
11207,Brooklyn,New York
11208,Brooklyn,New York
11209,Brooklyn,New York
11210,Brooklyn,New York
11211,Brooklyn,New York
11212,Brooklyn,New York
11213,Brooklyn,New York
11214,Brooklyn,New York
11215,Brooklyn,New York
11216,Brooklyn,New York
11217,Brooklyn,New York
11218,Brooklyn,New York
11219,Brooklyn,New York
11220,Brooklyn,New York
11221,Brooklyn,New York
11222,Brooklyn,New York
11223,Brooklyn,New York
11224,Brooklyn,New York
11225,Brooklyn,New York
11226,Brooklyn,New York
11228,Brooklyn,New York
11229,Brooklyn,New York
11230,Brooklyn,New York
11231,Brooklyn,New York
11232,Brooklyn,New York
11233,Brooklyn,New York
11234,Brooklyn,New York
11235,Brooklyn,New York
11236,Brooklyn,New York
11237,Brooklyn,New York
11238,Brooklyn,New York
11239,Brooklyn,New York
11241,Brooklyn,New York
11242,Brooklyn,New York
11243,Brooklyn,New York
11245,Brooklyn,New York
11247,Brooklyn,New York
11249,Brooklyn,New York
11251,Brooklyn,New York
11252,Brooklyn,New York
11256,Brooklyn,New York
13305,Beaver Falls,New York
13312,Brantingham,New York
13325,Constableville,New York
13327,Croghan,New York
13343,Glenfield,New York
13345,Greig,New York
13367,Lowville,New York
13368,Lyons Falls,New York
13404,Martinsburg,New York
13433,Port Leyden,New York
13473,Turin,New York
13489,West Leyden,New York
13620,Castorland,New York
13626,Copenhagen,New York
13627,Deer River,New York
13631,Denmark,New York
13648,Harrisville,New York
14414,Avon,New York
14423,Caledonia,New York
14435,Conesus,New York
14437,Dansville,New York
14454,Geneseo,New York
14462,Groveland,New York
14466,Hemlock,New York
14480,Lakeville,New York
14481,Leicester,New York
14485,Lima,New York
14487,Livonia,New York
14488,Livonia Center,New York
14510,Mount Morris,New York
14517,Nunda,New York
14533,Piffard,New York
14539,Retsof,New York
14545,Scottsburg,New York
14556,Sonyea,New York
14558,South Lima,New York
14560,Springwater,New York
14592,York,New York
14836,Dalton,New York
14846,Hunt,New York
13032,Canastota,New York
13035,Cazenovia,New York
13037,Chittenango,New York
13043,Clockville,New York
13052,De Ruyter,New York
13061,Erieville,New York
13072,Georgetown,New York
13122,New Woodstock,New York
13134,Peterboro,New York
13163,Wampsville,New York
13310,Bouckville,New York
13314,Brookfield,New York
13334,Eaton,New York
13346,Hamilton,New York
13355,Hubbardsville,New York
13364,Leonardsville,New York
13402,Madison,New York
13408,Morrisville,New York
13409,Munnsville,New York
13418,North Brookfield,New York
13421,Oneida,New York
13465,Solsville,New York
13484,West Eaton,New York
14410,Adams Basin,New York
14420,Brockport,New York
14428,Churchville,New York
14430,Clarkson,New York
14445,East Rochester,New York
14450,Fairport,New York
14464,Hamlin,New York
14467,Henrietta,New York
14468,Hilton,New York
14472,Honeoye Falls,New York
14506,Mendon,New York
14511,Mumford,New York
14514,North Chili,New York
14515,North Greece,New York
14526,Penfield,New York
14534,Pittsford,New York
14543,Rush,New York
14546,Scottsville,New York
14559,Spencerport,New York
14580,Webster,New York
14586,West Henrietta,New York
14602,Rochester,New York
14603,Rochester,New York
14604,Rochester,New York
14605,Rochester,New York
14606,Rochester,New York
14607,Rochester,New York
14608,Rochester,New York
14609,Rochester,New York
14610,Rochester,New York
14611,Rochester,New York
14612,Rochester,New York
14613,Rochester,New York
14614,Rochester,New York
14615,Rochester,New York
14616,Rochester,New York
14617,Rochester,New York
14618,Rochester,New York
14619,Rochester,New York
14620,Rochester,New York
14621,Rochester,New York
14622,Rochester,New York
14623,Rochester,New York
14624,Rochester,New York
14625,Rochester,New York
14626,Rochester,New York
14627,Rochester,New York
14638,Rochester,New York
14639,Rochester,New York
14642,Rochester,New York
14643,Rochester,New York
14644,Rochester,New York
14646,Rochester,New York
14647,Rochester,New York
14649,Rochester,New York
14650,Rochester,New York
14651,Rochester,New York
14652,Rochester,New York
14653,Rochester,New York
14692,Rochester,New York
14694,Rochester,New York
12010,Amsterdam,New York
12016,Auriesville,New York
12066,Esperance,New York
12068,Fonda,New York
12069,Fort Hunter,New York
12070,Fort Johnson,New York
12072,Fultonville,New York
12086,Hagaman,New York
12166,Sprakers,New York
12177,Tribes Hill,New York
13317,Canajoharie,New York
13339,Fort Plain,New York
13410,Nelliston,New York
13428,Palatine Bridge,New York
13452,Saint Johnsville,New York
11001,Floral Park,New York
11002,Floral Park,New York
11003,Elmont,New York
11010,Franklin Square,New York
11020,Great Neck,New York
11021,Great Neck,New York
11022,Great Neck,New York
11023,Great Neck,New York
11024,Great Neck,New York
11026,Great Neck,New York
11027,Great Neck,New York
11030,Manhasset,New York
11040,New Hyde Park,New York
11042,New Hyde Park,New York
11050,Port Washington,New York
11051,Port Washington,New York
11052,Port Washington,New York
11053,Port Washington,New York
11054,Port Washington,New York
11055,Port Washington,New York
11096,Inwood,New York
11501,Mineola,New York
11507,Albertson,New York
11509,Atlantic Beach,New York
11510,Baldwin,New York
11514,Carle Place,New York
11516,Cedarhurst,New York
11518,East Rockaway,New York
11520,Freeport,New York
11530,Garden City,New York
11531,Garden City,New York
11542,Glen Cove,New York
11545,Glen Head,New York
11547,Glenwood Landing,New York
11548,Greenvale,New York
11549,Hempstead,New York
11550,Hempstead,New York
11551,Hempstead,New York
11552,West Hempstead,New York
11553,Uniondale,New York
11554,East Meadow,New York
11555,Uniondale,New York
11556,Uniondale,New York
11557,Hewlett,New York
11558,Island Park,New York
11559,Lawrence,New York
11560,Locust Valley,New York
11561,Long Beach,New York
11563,Lynbrook,New York
11565,Malverne,New York
11566,Merrick,New York
11568,Old Westbury,New York
11569,Point Lookout,New York
11570,Rockville Centre,New York
11571,Rockville Centre,New York
11572,Oceanside,New York
11575,Roosevelt,New York
11576,Roslyn,New York
11577,Roslyn Heights,New York
11579,Sea Cliff,New York
11580,Valley Stream,New York
11581,Valley Stream,New York
11582,Valley Stream,New York
11590,Westbury,New York
11596,Williston Park,New York
11598,Woodmere,New York
11599,Garden City,New York
11709,Bayville,New York
11710,Bellmore,New York
11714,Bethpage,New York
11732,East Norwich,New York
11735,Farmingdale,New York
11737,Farmingdale,New York
11753,Jericho,New York
11756,Levittown,New York
11758,Massapequa,New York
11762,Massapequa Park,New York
11765,Mill Neck,New York
11771,Oyster Bay,New York
11773,Syosset,New York
11783,Seaford,New York
11791,Syosset,New York
11793,Wantagh,New York
11797,Woodbury,New York
11801,Hicksville,New York
11802,Hicksville,New York
11803,Plainview,New York
11804,Old Bethpage,New York
11815,Hicksville,New York
11819,Hicksville,New York
11853,Jericho,New York
10001,New York,New York
10002,New York,New York
10003,New York,New York
10004,New York,New York
10005,New York,New York
10006,New York,New York
10007,New York,New York
10008,New York,New York
10009,New York,New York
10010,New York,New York
10011,New York,New York
10012,New York,New York
10013,New York,New York
10014,New York,New York
10016,New York,New York
10017,New York,New York
10018,New York,New York
10019,New York,New York
10020,New York,New York
10021,New York,New York
10022,New York,New York
10023,New York,New York
10024,New York,New York
10025,New York,New York
10026,New York,New York
10027,New York,New York
10028,New York,New York
10029,New York,New York
10030,New York,New York
10031,New York,New York
10032,New York,New York
10033,New York,New York
10034,New York,New York
10035,New York,New York
10036,New York,New York
10037,New York,New York
10038,New York,New York
10039,New York,New York
10040,New York,New York
10041,New York,New York
10043,New York,New York
10044,New York,New York
10045,New York,New York
10055,New York,New York
10060,New York,New York
10065,New York,New York
10069,New York,New York
10075,New York,New York
10080,New York,New York
10081,New York,New York
10087,New York,New York
10090,New York,New York
10101,New York,New York
10102,New York,New York
10103,New York,New York
10104,New York,New York
10105,New York,New York
10106,New York,New York
10107,New York,New York
10108,New York,New York
10109,New York,New York
10110,New York,New York
10111,New York,New York
10112,New York,New York
10113,New York,New York
10114,New York,New York
10115,New York,New York
10116,New York,New York
10117,New York,New York
10118,New York,New York
10119,New York,New York
10120,New York,New York
10121,New York,New York
10122,New York,New York
10123,New York,New York
10124,New York,New York
10125,New York,New York
10126,New York,New York
10128,New York,New York
10129,New York,New York
10130,New York,New York
10131,New York,New York
10132,New York,New York
10133,New York,New York
10138,New York,New York
10150,New York,New York
10151,New York,New York
10152,New York,New York
10153,New York,New York
10154,New York,New York
10155,New York,New York
10156,New York,New York
10157,New York,New York
10158,New York,New York
10159,New York,New York
10160,New York,New York
10161,New York,New York
10162,New York,New York
10163,New York,New York
10164,New York,New York
10165,New York,New York
10166,New York,New York
10167,New York,New York
10168,New York,New York
10169,New York,New York
10170,New York,New York
10171,New York,New York
10172,New York,New York
10173,New York,New York
10174,New York,New York
10175,New York,New York
10176,New York,New York
10177,New York,New York
10178,New York,New York
10179,New York,New York
10185,New York,New York
10199,New York,New York
10203,New York,New York
10211,New York,New York
10212,New York,New York
10213,New York,New York
10242,New York,New York
10249,New York,New York
10256,New York,New York
10258,New York,New York
10259,New York,New York
10260,New York,New York
10261,New York,New York
10265,New York,New York
10268,New York,New York
10269,New York,New York
10270,New York,New York
10271,New York,New York
10272,New York,New York
10273,New York,New York
10274,New York,New York
10275,New York,New York
10276,New York,New York
10277,New York,New York
10278,New York,New York
10279,New York,New York
10280,New York,New York
10281,New York,New York
10282,New York,New York
10285,New York,New York
10286,New York,New York
14008,Appleton,New York
14012,Barker,New York
14028,Burt,New York
14067,Gasport,New York
14092,Lewiston,New York
14094,Lockport,New York
14095,Lockport,New York
14105,Middleport,New York
14107,Model City,New York
14108,Newfane,New York
14109,Niagara University,New York
14120,North Tonawanda,New York
14126,Olcott,New York
14131,Ransomville,New York
14132,Sanborn,New York
14144,Stella Niagara,New York
14172,Wilson,New York
14174,Youngstown,New York
14301,Niagara Falls,New York
14302,Niagara Falls,New York
14303,Niagara Falls,New York
14304,Niagara Falls,New York
14305,Niagara Falls,New York
13054,Durhamville,New York
13123,North Bay,New York
13157,Sylvan Beach,New York
13162,Verona Beach,New York
13301,Alder Creek,New York
13303,Ava,New York
13304,Barneveld,New York
13308,Blossvale,New York
13309,Boonville,New York
13313,Bridgewater,New York
13316,Camden,New York
13318,Cassville,New York
13319,Chadwicks,New York
13321,Clark Mills,New York
13322,Clayville,New York
13323,Clinton,New York
13328,Deansboro,New York
13338,Forestport,New York
13341,Franklin Springs,New York
13352,Hinckley,New York
13354,Holland Patent,New York
13362,Knoxboro,New York
13363,Lee Center,New York
13401,Mc Connellsville,New York
13403,Marcy,New York
13413,New Hartford,New York
13417,New York Mills,New York
13424,Oriskany,New York
13425,Oriskany Falls,New York
13435,Prospect,New York
13438,Remsen,New York
13440,Rome,New York
13441,Rome,New York
13442,Rome,New York
13449,Rome,New York
13455,Sangerfield,New York
13456,Sauquoit,New York
13461,Sherrill,New York
13469,Stittville,New York
13471,Taberg,New York
13476,Vernon,New York
13477,Vernon Center,New York
13478,Verona,New York
13479,Washington Mills,New York
13480,Waterville,New York
13483,Westdale,New York
13486,Westernville,New York
13490,Westmoreland,New York
13492,Whitesboro,New York
13494,Woodgate,New York
13495,Yorkville,New York
13501,Utica,New York
13502,Utica,New York
13503,Utica,New York
13504,Utica,New York
13505,Utica,New York
13599,Utica,New York
13020,Apulia Station,New York
13027,Baldwinsville,New York
13029,Brewerton,New York
13030,Bridgeport,New York
13031,Camillus,New York
13039,Cicero,New York
13041,Clay,New York
13051,Delphi Falls,New York
13057,East Syracuse,New York
13060,Elbridge,New York
13063,Fabius,New York
13066,Fayetteville,New York
13078,Jamesville,New York
13080,Jordan,New York
13082,Kirkville,New York
13084,La Fayette,New York
13088,Liverpool,New York
13089,Liverpool,New York
13090,Liverpool,New York
13104,Manlius,New York
13108,Marcellus,New York
13110,Marietta,New York
13112,Memphis,New York
13116,Minoa,New York
13119,Mottville,New York
13120,Nedrow,New York
13137,Plainville,New York
13138,Pompey,New York
13152,Skaneateles,New York
13153,Skaneateles Falls,New York
13159,Tully,New York
13164,Warners,New York
13201,Syracuse,New York
13202,Syracuse,New York
13203,Syracuse,New York
13204,Syracuse,New York
13205,Syracuse,New York
13206,Syracuse,New York
13207,Syracuse,New York
13208,Syracuse,New York
13209,Syracuse,New York
13210,Syracuse,New York
13211,Syracuse,New York
13212,Syracuse,New York
13214,Syracuse,New York
13215,Syracuse,New York
13217,Syracuse,New York
13218,Syracuse,New York
13219,Syracuse,New York
13220,Syracuse,New York
13221,Syracuse,New York
13224,Syracuse,New York
13225,Syracuse,New York
13235,Syracuse,New York
13244,Syracuse,New York
13250,Syracuse,New York
13251,Syracuse,New York
13252,Syracuse,New York
13261,Syracuse,New York
13290,Syracuse,New York
14424,Canandaigua,New York
14425,Farmington,New York
14432,Clifton Springs,New York
14443,East Bloomfield,New York
14453,Fishers,New York
14456,Geneva,New York
14461,Gorham,New York
14463,Hall,New York
14469,Bloomfield,New York
14471,Honeoye,New York
14475,Ionia,New York
14504,Manchester,New York
14512,Naples,New York
14518,Oaks Corners,New York
14532,Phelps,New York
14537,Port Gibson,New York
14547,Seneca Castle,New York
14548,Shortsville,New York
14561,Stanley,New York
14564,Victor,New York
14585,West Bloomfield,New York
10910,Arden,New York
10912,Bellvale,New York
10914,Blooming Grove,New York
10915,Bullville,New York
10916,Campbell Hall,New York
10917,Central Valley,New York
10918,Chester,New York
10919,Circleville,New York
10921,Florida,New York
10922,Fort Montgomery,New York
10924,Goshen,New York
10925,Greenwood Lake,New York
10926,Harriman,New York
10928,Highland Falls,New York
10930,Highland Mills,New York
10932,Howells,New York
10933,Johnson,New York
10940,Middletown,New York
10941,Middletown,New York
10949,Monroe,New York
10950,Monroe,New York
10953,Mountainville,New York
10958,New Hampton,New York
10959,New Milford,New York
10963,Otisville,New York
10969,Pine Island,New York
10973,Slate Hill,New York
10975,Southfields,New York
10979,Sterling Forest,New York
10981,Sugar Loaf,New York
10985,Thompson Ridge,New York
10987,Tuxedo Park,New York
10988,Unionville,New York
10990,Warwick,New York
10992,Washingtonville,New York
10996,West Point,New York
10997,West Point,New York
10998,Westtown,New York
12518,Cornwall,New York
12520,Cornwall On Hudson,New York
12543,Maybrook,New York
12549,Montgomery,New York
12550,Newburgh,New York
12551,Newburgh,New York
12552,Newburgh,New York
12553,New Windsor,New York
12555,Newburgh,New York
12566,Pine Bush,New York
12575,Rock Tavern,New York
12577,Salisbury Mills,New York
12584,Vails Gate,New York
12586,Walden,New York
12729,Cuddebackville,New York
12746,Huguenot,New York
12771,Port Jervis,New York
12780,Sparrow Bush,New York
14098,Lyndonville,New York
14103,Medina,New York
14411,Albion,New York
14429,Clarendon,New York
14452,Fancher,New York
14470,Holley,New York
14476,Kendall,New York
14477,Kent,New York
14479,Knowlesville,New York
14508,Morton,New York
14571,Waterport,New York
13028,Bernhards Bay,New York
13036,Central Square,New York
13042,Cleveland,New York
13044,Constantia,New York
13064,Fair Haven,New York
13069,Fulton,New York
13074,Hannibal,New York
13076,Hastings,New York
13083,Lacona,New York
13093,Lycoming,New York
13103,Mallory,New York
13107,Maple View,New York
13114,Mexico,New York
13115,Minetto,New York
13121,New Haven,New York
13126,Oswego,New York
13131,Parish,New York
13132,Pennellville,New York
13135,Phoenix,New York
13142,Pulaski,New York
13144,Richland,New York
13145,Sandy Creek,New York
13167,West Monroe,New York
13302,Altmar,New York
13426,Orwell,New York
13437,Redfield,New York
13493,Williamstown,New York
12064,East Worcester,New York
12116,Maryland,New York
12155,Schenevus,New York
12197,Worcester,New York
13315,Burlington Flats,New York
13320,Cherry Valley,New York
13326,Cooperstown,New York
13333,East Springfield,New York
13335,Edmeston,New York
13337,Fly Creek,New York
13342,Garrattsville,New York
13348,Hartwick,New York
13415,New Lisbon,New York
13439,Richfield Springs,New York
13450,Roseboom,New York
13457,Schuyler Lake,New York
13468,Springfield Center,New York
13482,West Burlington,New York
13485,West Edmeston,New York
13488,Westford,New York
13747,Colliersville,New York
13776,Gilbertsville,New York
13796,Laurens,New York
13807,Milford,New York
13808,Morris,New York
13810,Mount Vision,New York
13820,Oneonta,New York
13825,Otego,New York
13834,Portlandville,New York
13849,Unadilla,New York
13859,Wells Bridge,New York
13861,West Oneonta,New York
10509,Brewster,New York
10512,Carmel,New York
10516,Cold Spring,New York
10524,Garrison,New York
10537,Lake Peekskill,New York
10541,Mahopac,New York
10542,Mahopac Falls,New York
10579,Putnam Valley,New York
12563,Patterson,New York
11004,Glen Oaks,New York
11005,Floral Park,New York
11101,Long Island City,New York
11102,Astoria,New York
11103,Astoria,New York
11104,Sunnyside,New York
11105,Astoria,New York
11106,Astoria,New York
11109,Long Island City,New York
11120,Long Island City,New York
11351,Flushing,New York
11352,Flushing,New York
11354,Flushing,New York
11355,Flushing,New York
11356,College Point,New York
11357,Whitestone,New York
11358,Flushing,New York
11359,Bayside,New York
11360,Bayside,New York
11361,Bayside,New York
11362,Little Neck,New York
11363,Little Neck,New York
11364,Oakland Gardens,New York
11365,Fresh Meadows,New York
11366,Fresh Meadows,New York
11367,Flushing,New York
11368,Corona,New York
11369,East Elmhurst,New York
11370,East Elmhurst,New York
11371,Flushing,New York
11372,Jackson Heights,New York
11373,Elmhurst,New York
11374,Rego Park,New York
11375,Forest Hills,New York
11377,Woodside,New York
11378,Maspeth,New York
11379,Middle Village,New York
11380,Elmhurst,New York
11381,Flushing,New York
11385,Ridgewood,New York
11386,Ridgewood,New York
11405,Jamaica,New York
11411,Cambria Heights,New York
11412,Saint Albans,New York
11413,Springfield Gardens,New York
11414,Howard Beach,New York
11415,Kew Gardens,New York
11416,Ozone Park,New York
11417,Ozone Park,New York
11418,Richmond Hill,New York
11419,South Richmond Hill,New York
11420,South Ozone Park,New York
11421,Woodhaven,New York
11422,Rosedale,New York
11423,Hollis,New York
11424,Jamaica,New York
11425,Jamaica,New York
11426,Bellerose,New York
11427,Queens Village,New York
11428,Queens Village,New York
11429,Queens Village,New York
